,comment
0,"DE
Anmelden
Desktopia Pro X - Standing Desks Redefined
Desktopia Pro X
www.ergotopia.de/ergonomie-shop/hoehenverstellbarer-schreibtisch/desktopia-pro-elektrisch-memoryschalter
Shop now
Anzeige 1 von 2 ·
1:05
ergotopia.de/ergonomie-shop/hoeh...
5
0:00 / 1:05
Bodycam video shows moments leading up to fatal shooting
CNN
14,6 Mio. Abonnenten
Abonnieren
5992
Teilen
701.138 Aufrufe  vor 2 Jahren  #CNN #News
Bodycam video released by the Atlanta Police Department show the moments leading up to the fatal shooting of Rayshard Brooks.
 …
Mehr ansehen
7.864 Kommentare
Sortieren nach
Kommentar hinzufügen…
Jack Jolly
vor 2 Jahren
I'm not from the US but I sure as hell know not to point a weapon at a cop, It's extremely senseless.
159
Antworten
13 Antworten
DAT official
vor 2 Jahren
We dont need his ""help to understand what we're seeing"", what we need is a full uncut video to judge for ourself what we're seeing.
292
Antworten
72 Antworten
Ludo Down
vor 2 Jahren
There's a time and a place to fight the police.  It's called a court room.
42
Antworten
4 Antworten
Prefect_Dark_1n
vor 2 Jahren
You know it odd but the more this happens the more I start to see and hear people give any excuse to take another persons life.
1
Antworten
GRYFX
vor 2 Jahren
How can you try fight cops, steal their weapon and be susprised that they shot you lol
30
Antworten
2 Antworten
Tory Brad White
vor 2 Jahren
I always wonder why CNN never shows the whole CLIP, JUST spiced sections together. Really hard to believe them on what they do show, when they have so much they don't
53
Antworten
2 Antworten
Robert Smith
vor 2 Jahren
a knife or gun is considered a deadly weapon and use of force by the police in those situations are legal. A taser is a non-lethal device by law. The act of shooting a fleeing Brooks in the back while he presented no deadly weapons and only a stolen non-lethal device is... illegal
11
Antworten
3 Antworten
DenverEight
vor 2 Jahren
I remember in Captain Planet, Mati’s power of heart linked the other planeteers on an empathic and telepathic degree. His teammates understood and linked together to quickly assess problems and then possibly summon Captain Planet. The key to it was Mati’s own will that anchored and drove the team to their goals. 
Mehr anzeigen
Antworten
Justin Leet
vor 2 Jahren (bearbeitet)
The fact this is what you choose to cover shows your true intentions.
83
Antworten
3 Antworten
E Z
vor 2 Jahren
The fact that she said.. ""white officers and a black man"" is the problem
406
Antworten
65 Antworten
david paglia
vor 2 Jahren
Almost the same thing happened to me but cop took my keys and told me he would be back in an hour! I went into store had a cup of coffee cop came back asked me if i was alright and gave me my keys. That was 1981. Back in those days it wasnt all about filling town coffers!
Antworten
Silver Jones
vor 2 Jahren
How difficult is it to know that ""YOU DON'T RESIST ARREST.""
1
Antworten
Cynthia Langley
vor 2 Jahren
I don't even know what to say. If this is standard operating procedure then we definitely need to make major changes asap. My condolences to the family.
19
Antworten
2 Antworten
Tri Adi
vor 2 Jahren
May He rest in peace!
Antworten
agonzalez8924
vor 2 Jahren
You conveniently left out that in the struggle he also ripped away a taser from one of the officers, and was actively trying to use it.
63
Antworten
25 Antworten
Vlogs USA
vor 2 Jahren
Feel bad for the guy 
Antworten
SIl Ae
vor 2 Jahren
I always ask myself the same question when it comes to police shootings. ""Don't they train to know where to aim?""

There's a massive difference in aiming at someone with a deadly weapon assaulting you and chasing someone. The guy used a taser, the officer probably panicked, it's understandable that maybe he lost composure in that moment. But this is a prime example of a) where police training fails & b) why police shouldn't be armed.
Mehr anzeigen
Antworten
1 Antwort
Bhronda Pinder
vor 2 Jahren
This is causing anxiety that it’s literally making me sick.
2
Antworten
WWH InShort
vor 2 Jahren
Teach everyone to respect human. To respect life. To live and enjoy life. Stop these kind of behavior.
33
Antworten
6 Antworten
Thomas Gurgal
vor 2 Jahren
I have been in a similar situation after an office party. The police drove me home, and that is what should have happened here, or they should have let him call family. Nothing he did was a capital offence. Police  don’t get to be judge, jury, AND executioner.🇺🇸
1
Antworten
Desktopia Pro X
Anzeige
www.ergotopia.de/ergonomie-shop/hoehenverstellbarer-schreibtisch/desktopia-pro-elektrisch-memoryschalter
Shop now
20:29
Inside USK: Polizei-Spezialkräfte im Einsatz | Die Story | Kontrovers | BR24
BR24
1,6 Mio. Aufrufe vor 5 Monaten
9:22
Intense High Speed Sheriff Pursuit Ends With PIT Maneuver in Marion County, Florida
PoliceActivity
20 Mio. Aufrufe vor 1 Jahr
18:05
Aggressive Teenagers Threaten Ohio Police During Gun Bust Arrest
Law&Crime Network
4,1 Mio. Aufrufe vor 4 Monaten
2:14
Airline Passenger Criticized Fat Shamer on Flight
Inside Edition
10 Mio. Aufrufe vor 3 Jahren
23:41
Die geheimen Welten der Nazis (1): Das unterirdische Reich | SPIEGEL TV
DER SPIEGEL
1,1 Mio. Aufrufe vor 2 Jahren
53:26
Auf den Spuren der Neandertaler | Doku Reupload | ARTE
ARTEde
526.627 Aufrufe vor 2 Wochen
28:52
Bundeswehr: Härtetest für die Panzercrew | Die Nordreportage | NDR Doku
NDR Doku
1,1 Mio. Aufrufe vor 1 Monat
3:29
Officer fired in Rayshard Brooks case had been investigated multiple times by APD's Office of Profes
11Alive
161.912 Aufrufe vor 2 Jahren
16:10
Völkische Siedler als Nachbarn: ""Das Leben ist zur Hölle geworden."" | SPIEGEL TV
DER SPIEGEL
3,8 Mio. Aufrufe vor 1 Jahr
10:04
Jake Tapper shares harrowing story of daughter's near-fatal misdiagnosis | CNN
CNN
384.258 Aufrufe vor 1 Tag
Neu
17:07
Rechtsextremismus im Osten: So geht sächsisch! | ZDF Magazin Royale
ZDF MAGAZIN ROYALE
2,6 Mio. Aufrufe vor 1 Jahr
Zugriff - Das Zoll Spezialkommando | SWR Doku
SWR Doku
2,9 Mio. Aufrufe vor 3 Jahren
Community leader talks about policing in neighborhood where Rayshard Brooks was killed
11Alive
6630 Aufrufe vor 2 Jahren
Warum Reichsbürger gegen das System demonstrieren
Y-Kollektiv
1,5 Mio. Aufrufe vor 2 Jahren
Die geheimen Welten der Nazis (3): Das unterirdische Reich | SPIEGEL TV
DER SPIEGEL
654.200 Aufrufe vor 2 Jahren
Russian soldiers 'beat up' for refusing to fight in Ukraine war - BBC News
BBC News
1,4 Mio. Aufrufe vor 5 Tagen
Neu
Leben wir in einem Schwarzen Loch? | 42 - Die Antwort auf fast alles | ARTE
ARTEde
4,3 Mio. Aufrufe vor 8 Monaten
LIVE: Statement der AfD-Fraktionsspitze
ntv Nachrichten
81.755 Aufrufe vor 4 Tagen gestreamt
Neu
Königreich Deutschland: Reichsbürger auf Expansionskurs | SPIEGEL TV
DER SPIEGEL
2,4 Mio. Aufrufe vor 6 Monaten
Soldat trifft auf Linksjugend I Auf der Couch
ZDFheute Nachrichten
621.616 Aufrufe vor 5 Tagen
Neu"
1,
2,
3,"I'm not from the US but I sure as hell know not to point a weapon at a cop, It's extremely senseless."
4,"We dont need his ""help to understand what we're seeing"", what we need is a full uncut video to judge for ourself what we're seeing."
5,There's a time and a place to fight the police.  It's called a court room.
6,You know it odd but the more this happens the more I start to see and hear people give any excuse to take another persons life.
7,"How can you try fight cops, steal their weapon and be susprised that they shot you lol"
8,"I always wonder why CNN never shows the whole CLIP, JUST spiced sections together. Really hard to believe them on what they do show, when they have so much they don't"
9,a knife or gun is considered a deadly weapon and use of force by the police in those situations are legal. A taser is a non-lethal device by law. The act of shooting a fleeing Brooks in the back while he presented no deadly weapons and only a stolen non-lethal device is... illegal
10,"I remember in Captain Planet, Mati’s power of heart linked the other planeteers on an empathic and telepathic degree. His teammates understood and linked together to quickly assess problems and then possibly summon Captain Planet. The key to it was Mati’s own will that anchored and drove the team to their goals. "
11,The fact this is what you choose to cover shows your true intentions.
12,"The fact that she said.. ""white officers and a black man"" is the problem"
